ds,y
1992-01-01,146376
1992-02-01,147079
1992-03-01,159336
1992-04-01,163669
1992-05-01,170068
1992-06-01,168663
1992-07-01,169890
1992-08-01,170364
1992-09-01,164617
1992-10-01,173655
1992-11-01,171547
1992-12-01,208838
1993-01-01,153221
1993-02-01,150087
1993-03-01,170439
1993-04-01,176456
1993-05-01,182231
1993-06-01,181535
1993-07-01,183682
1993-08-01,183318
1993-09-01,177406
1993-10-01,182737
1993-11-01,187443
1993-12-01,224540
1994-01-01,161349
1994-02-01,162841
1994-03-01,192319
1994-04-01,189569
1994-05-01,194927
1994-06-01,197946
1994-07-01,193355
1994-08-01,202388
1994-09-01,193954
1994-10-01,197956
1994-11-01,202520
1994-12-01,241111
1995-01-01,175344
1995-02-01,172138
1995-03-01,201279
1995-04-01,196039
1995-05-01,210478
1995-06-01,211844
1995-07-01,203411
1995-08-01,214248
1995-09-01,202122
1995-10-01,204044
1995-11-01,212190
1995-12-01,247491
1996-01-01,185019
1996-02-01,192380
1996-03-01,212110
1996-04-01,211718
1996-05-01,226936
1996-06-01,217511
1996-07-01,218111
1996-08-01,226062
1996-09-01,209250
1996-10-01,222663
1996-11-01,223953
1996-12-01,258081
1997-01-01,200389
1997-02-01,197556
1997-03-01,225133
1997-04-01,220329
1997-05-01,234190
1997-06-01,227365
1997-07-01,231521
1997-08-01,235252
1997-09-01,222807
1997-10-01,232251
1997-11-01,228284
1997-12-01,271054
1998-01-01,207853
1998-02-01,203863
1998-03-01,230313
1998-04-01,234503
1998-05-01,245027
1998-06-01,244067
1998-07-01,241431
1998-08-01,240462
1998-09-01,231243
1998-10-01,244234
1998-11-01,240991
1998-12-01,288969
1999-01-01,218126
1999-02-01,220650
1999-03-01,253550
1999-04-01,250783
1999-05-01,262113
1999-06-01,260918
1999-07-01,262051
1999-08-01,265089
1999-09-01,253905
1999-10-01,258040
1999-11-01,264106
1999-12-01,317659
2000-01-01,236422
2000-02-01,250580
2000-03-01,279515
2000-04-01,264417
2000-05-01,283706
2000-06-01,281288
2000-07-01,271146
2000-08-01,283944
2000-09-01,269155
2000-10-01,270899
2000-11-01,276507
2000-12-01,319958
2001-01-01,250746
2001-02-01,247772
2001-03-01,280449
2001-04-01,274925
2001-05-01,296013
2001-06-01,287881
2001-07-01,279098
2001-08-01,294763
2001-09-01,261924
2001-10-01,291596
2001-11-01,287537
2001-12-01,326202
2002-01-01,255598
2002-02-01,253086
2002-03-01,285261
2002-04-01,284747
2002-05-01,300402
2002-06-01,288854
2002-07-01,295433
2002-08-01,307256
2002-09-01,273189
2002-10-01,287540
2002-11-01,290705
2002-12-01,337006
2003-01-01,268328
2003-02-01,259051
2003-03-01,293693
2003-04-01,294251
2003-05-01,312389
2003-06-01,300998
2003-07-01,309923
2003-08-01,317056
2003-09-01,293890
2003-10-01,304036
2003-11-01,301265
2003-12-01,357577
2004-01-01,281460
2004-02-01,282444
2004-03-01,319077
2004-04-01,315191
2004-05-01,328408
2004-06-01,321044
2004-07-01,328000
2004-08-01,326317
2004-09-01,313524
2004-10-01,319726
2004-11-01,324259
2004-12-01,387155
2005-01-01,293261
2005-02-01,295062
2005-03-01,339141
2005-04-01,335632
2005-05-01,345348
2005-06-01,350945
2005-07-01,351827
2005-08-01,355701
2005-09-01,333289
2005-10-01,336134
2005-11-01,343798
2005-12-01,405608
2006-01-01,318546
2006-02-01,314051
2006-03-01,361993
2006-04-01,351667
2006-05-01,373560
2006-06-01,366615
2006-07-01,362203
2006-08-01,375795
2006-09-01,346214
2006-10-01,348796
2006-11-01,356928
2006-12-01,417991
2007-01-01,328877
2007-02-01,323162
2007-03-01,374142
2007-04-01,358535
2007-05-01,391512
2007-06-01,376639
2007-07-01,372354
2007-08-01,388016
2007-09-01,353936
2007-10-01,368681
2007-11-01,377802
2007-12-01,426077
2008-01-01,342697
2008-02-01,343937
2008-03-01,372923
2008-04-01,368923
2008-05-01,397969
2008-06-01,378490
2008-07-01,383686
2008-08-01,382852
2008-09-01,350560
2008-10-01,349884
2008-11-01,335571
2008-12-01,384286
2009-01-01,310269
2009-02-01,299488
2009-03-01,328568
2009-04-01,329866
2009-05-01,347768
2009-06-01,344439
2009-07-01,348106
2009-08-01,353473
2009-09-01,324708
2009-10-01,338630
2009-11-01,339386
2009-12-01,400264
2010-01-01,314640
2010-02-01,311022
2010-03-01,360819
2010-04-01,356460
2010-05-01,365713
2010-06-01,358675
2010-07-01,362027
2010-08-01,362682
2010-09-01,346069
2010-10-01,355212
2010-11-01,365809
2010-12-01,426654
2011-01-01,335608
2011-02-01,337352
2011-03-01,387092
2011-04-01,380754
2011-05-01,391970
2011-06-01,388636
2011-07-01,384600
2011-08-01,394548
2011-09-01,374895
2011-10-01,379364
2011-11-01,391081
2011-12-01,451669
2012-01-01,355058
2012-02-01,372523
2012-03-01,414275
2012-04-01,393035
2012-05-01,418648
2012-06-01,400996
2012-07-01,396020
2012-08-01,417911
2012-09-01,385597
2012-10-01,399341
2012-11-01,410992
2012-12-01,461994
2013-01-01,375537
2013-02-01,373938
2013-03-01,421638
2013-04-01,408381
2013-05-01,436985
2013-06-01,414701
2013-07-01,422357
2013-08-01,434950
2013-09-01,396199
2013-10-01,415740
2013-11-01,423611
2013-12-01,477205
2014-01-01,383399
2014-02-01,380315
2014-03-01,432806
2014-04-01,431415
2014-05-01,458822
2014-06-01,433152
2014-07-01,443005
2014-08-01,450913
2014-09-01,420871
2014-10-01,437702
2014-11-01,437910
2014-12-01,501232
2015-01-01,397252
2015-02-01,386935
2015-03-01,444110
2015-04-01,438217
2015-05-01,462615
2015-06-01,448229
2015-07-01,457710
2015-08-01,456340
2015-09-01,430917
2015-10-01,444959
2015-11-01,444507
2015-12-01,518253
2016-01-01,400928
2016-02-01,413554
2016-03-01,460093
2016-04-01,450935
2016-05-01,471421
